"id";"atcocode";"common_name";"locality_name";"locality_qualifier";"created_at";"updated_at";"name";"lattitude";"longitude";"transport_type";"osm_id";"sms_code";"indicator";"bearing";"locality";"parent_locality";"status"
136668;"9300ADL";"Ardleish Pier";"Ardlui";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Ardleish Pier";5629944;-470125;"FER";;"";"";"";"Ardlui";"";"act"
136719;"9300ABA";"Aberdeen Ferry Terminal";"Aberdeen";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Aberdeen Ferry Terminal";5714480;-209170;"FER";;"";"";"";"Aberdeen";"";"act"
147664;"9300ADT";"Ardintigh Ferry Landing";"Tarbet";"";"2016-02-09 15:27:53";"2016-02-09 15:27:53";"Ardintigh Ferry Landing";5697628;-565858;"FER";;"";"";"";"Tarbet";"";"act"
136578;"9300AHB";"Aird Mhor Barra Ferry Terminal";"Ardveenish";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Aird Mhor Barra Ferry Terminal";5700861;-740332;"FER";;"";"";"";"Ardveenish";"";"act"
136669;"9300ALU";"Ardlui Pier";"Ardlui";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Ardlui Pier";5630259;-472026;"FER";;"";"";"";"Ardlui";"";"act"
136551;"9300AMH";"Gigha Ferry Terminal";"Ardminish";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Gigha Ferry Terminal";5567762;-573387;"FER";;"";"";"";"Ardminish";"";"act"
136547;"9300ARD";"Ardrossan Ferry Terminal";"Ardrossan";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Ardrossan Ferry Terminal";5564020;-482415;"FER";;"";"";"";"Ardrossan";"";"act"
144757;"9300ARG";"Ardgour Ferry Terminal";"Corran Ferry";"";"2016-02-09 15:27:52";"2016-02-09 15:27:52";"Ardgour Ferry Terminal";5672203;-524268;"FER";;"";"";"";"Corran Ferry";"";"act"
136569;"9300ARM";"Armadale Ferry Terminal";"Armadale";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Armadale Ferry Terminal";5706460;-589474;"FER";;"";"";"";"Armadale";"";"act"
147640;"9300BAD";"Badluarach Ferry Landing";"Badluarach";"";"2016-02-09 15:27:53";"2016-02-09 15:27:53";"Badluarach Ferry Landing";5789755;-538257;"FER";;"";"";"";"Badluarach";"";"act"
158616;"9300BMT";"Belmont (Unst Shetland) Ferry Terminal";"Belmont";"Unst";"2016-02-09 15:27:55";"2016-02-09 15:27:55";"Belmont (Unst Shetland) Ferry Terminal";6068312;-96678;"FER";;"";"";"";"Belmont";"Unst";"act"
136582;"9300BNY";"Berneray Ferry Terminal";"Berneray";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Berneray Ferry Terminal";5770230;-718042;"FER";;"";"";"";"Berneray";"";"act"
136546;"9300BRB";"Brodick Isle of Arran Ferry Terminal";"Brodick";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Brodick Isle of Arran Ferry Terminal";5557713;-513891;"FER";;"";"";"";"Brodick";"";"act"
144760;"9300BWC";"Burwick Sth Ronaldsay Orkney Ferry Terminal";"Burwick";"South Ronaldsay";"2016-02-09 15:27:52";"2016-02-09 15:27:52";"Burwick Sth Ronaldsay Orkney Ferry Terminal";5873955;-297285;"FER";;"";"";"";"Burwick";"South Ronaldsay";"act"
67217;"9300BWD";"o/s Brantwood";"Coniston";"";"2016-02-09 15:27:06";"2016-02-09 15:27:06";"o/s Brantwood";5435308;-306161;"FER";;"";"";"";"Brantwood";"";"act"
