"id";"tiploc_code";"nalco";"tps_description";"stanox";"crs_code";"description";"geo_lat";"geo_lon";"is_public";"nalco_four";"atcocode";"is_station";"created_at";"updated_at";"latlon";"googlesrs"
11106;"CRXLEY";"55400";"CROXLEY LT";"";"ZCO";"";;;;"5540";"";;"2015-03-16 10:43:25.522273";"2015-03-16 10:43:25.522273";"";""
13484;"BURY";"262300";"BURY";"";"BUR";"";;;;"2623";"";;"2015-03-16 10:43:26.8634";"2015-03-16 10:43:26.8634";"";""
21590;"MOSSEND";"970600";"MOSSEND";"";"MSE";"";;;;"9706";"";;"2015-03-16 10:43:34.949771";"2015-03-16 10:43:34.949771";"";""
11137;"SKENSIN";"70800";"SOUTH KENSINGTON LT";"72265";"ZSK";"";;;;"7080";"";;"2015-03-16 10:43:25.53662";"2015-03-16 10:43:25.53662";"";""
11138;"SWIMBDN";"71100";"SOUTH WIMBLEDON LT";"";"ZSI";"";;;;"7110";"";;"2015-03-16 10:43:25.537045";"2015-03-16 10:43:25.537045";"";""
11139;"STNMORE";"71400";"STANMORE LT";"";"ZSM";"";;;;"7140";"";;"2015-03-16 10:43:25.537503";"2015-03-16 10:43:25.537503";"";""
11142;"TOWERHL";"73100";"TOWER HILL LT";"52712";"ZTH";"";;;;"7310";"";;"2015-03-16 10:43:25.538807";"2015-03-16 10:43:25.538807";"";""
11143;"TRNHMGN";"73400";"TURNHAM GREEN LT";"87130";"ZTU";"";;;;"7340";"";;"2015-03-16 10:43:25.539216";"2015-03-16 10:43:25.539216";"";""
11144;"UPMNLT";"73600";"UPMINSTER LT";"51353";"ZUM";"";;;;"7360";"";;"2015-03-16 10:43:25.539632";"2015-03-16 10:43:25.539632";"";""
11145;"WRKALT";"74600";"WARWICK AVENUE LT";"";"ZWV";"";;;;"7460";"";;"2015-03-16 10:43:25.540223";"2015-03-16 10:43:25.540223";"";""
11147;"WATFLUL";"74800";"WATFORD LT";"";"ZWT";"";;;;"7480";"";;"2015-03-16 10:43:25.541085";"2015-03-16 10:43:25.541085";"";""
11148;"WHAMLT";"75700";"WEST HAM LT";"52250";"ZWZ";"";;;;"7570";"";;"2015-03-16 10:43:25.541634";"2015-03-16 10:43:25.541634";"";""
11156;"LILLE";"80200";"LILLE NORD-EUROPE";"741";"LIU";"";;;;"8020";"";;"2015-03-16 10:43:25.548912";"2015-03-16 10:43:25.548912";"";""
11032;"CATZ";"31210";"ARDRAHAN";"";"XAG";"";;;;"3121";"";;"2015-03-16 10:43:25.489271";"2015-03-16 10:43:25.489271";"";""
11063;"CANVLR";"46600";"CANVEY LINK ROAD & DINANT";"";"XLR";"";;;;"4660";"";;"2015-03-16 10:43:25.503345";"2015-03-16 10:43:25.503345";"";""
11064;"EUSTOLM";"47300";"LONDON-GAMES";"";"LOY";"";;;;"4730";"";;"2015-03-16 10:43:25.503788";"2015-03-16 10:43:25.503788";"";""
11065;"CRDFOLM";"47400";"CARDIFF-GAMES";"";"CYM";"";;;;"4740";"";;"2015-03-16 10:43:25.504187";"2015-03-16 10:43:25.504187";"";""
11066;"COVNOLM";"47500";"COVENTRY-GAMES";"";"CVO";"";;;;"4750";"";;"2015-03-16 10:43:25.504601";"2015-03-16 10:43:25.504601";"";""
11067;"MNCROLM";"47600";"MANCHESTER-GAMES";"";"MYM";"";;;;"4760";"";;"2015-03-16 10:43:25.505017";"2015-03-16 10:43:25.505017";"";""
11068;"NWCSOLM";"47700";"NEWCASTLE-GAMES";"";"NOY";"";;;;"4770";"";;"2015-03-16 10:43:25.505405";"2015-03-16 10:43:25.505405";"";""
11069;"GLGCOLM";"47800";"GLASGOW-GAMES";"";"GGO";"";;;;"4780";"";;"2015-03-16 10:43:25.505951";"2015-03-16 10:43:25.505951";"";""
11070;"WEYMOLM";"47900";"WEYMOUTH-GAMES";"";"WOY";"";;;;"4790";"";;"2015-03-16 10:43:25.506364";"2015-03-16 10:43:25.506364";"";""
11134;"ILFERDB";"68400";"REDBRIDGE LT";"50428";"ZRE";"";;;;"6840";"";;"2015-03-16 10:43:25.535318";"2015-03-16 10:43:25.535318";"";""
11136;"ROYALO";"69000";"ROYAL OAK LT";"";"ZRY";"";;;;"6900";"";;"2015-03-16 10:43:25.536161";"2015-03-16 10:43:25.536161";"";""
11911;"CMDNCSD";"136711";"CARMD";"72401";"XCM";"";;;;"1367";"";;"2015-03-16 10:43:25.931463";"2015-03-16 10:43:25.931463";"";""
17859;"LTCEMUS";"608917";"CHS";"53102";"XLE";"";;;;"6089";"";;"2015-03-16 10:43:30.703479";"2015-03-16 10:43:30.703479";"";""
11071;"ARKW";"48000";"ARKLOW";"";"ARW";"";;;;"4800";"";;"2015-03-16 10:43:25.506798";"2015-03-16 10:43:25.506798";"";""
11072;"BRAY";"48100";"BRAY";"";"BZY";"";;;;"4810";"";;"2015-03-16 10:43:25.507206";"2015-03-16 10:43:25.507206";"";""
11073;"CARICOS";"48200";"CARRICK - ON - SUIR";"";"CKU";"";;;;"4820";"";;"2015-03-16 10:43:25.507605";"2015-03-16 10:43:25.507605";"";""
11074;"CLONMEL";"48300";"CLONMEL";"";"CLX";"";;;;"4830";"";;"2015-03-16 10:43:25.508012";"2015-03-16 10:43:25.508012";"";""
11075;"CORK";"48400";"CORK";"";"COK";"";;;;"4840";"";;"2015-03-16 10:43:25.508491";"2015-03-16 10:43:25.508491";"";""
11076;"CATZ002";"48410";"GLOUNTHAUNE";"";"XGV";"";;;;"4841";"";;"2015-03-16 10:43:25.508906";"2015-03-16 10:43:25.508906";"";""
11077;"CATZ004";"48420";"MIDLETON";"";"XME";"";;;;"4842";"";;"2015-03-16 10:43:25.509314";"2015-03-16 10:43:25.509314";"";""
11080;"DUBLINH";"48500";"DUBLIN HEUSTON";"";"DHT";"";;;;"4850";"";;"2015-03-16 10:43:25.510636";"2015-03-16 10:43:25.510636";"";""
11081;"ENISCTY";"48600";"ENNISCORTHY";"";"ENS";"";;;;"4860";"";;"2015-03-16 10:43:25.511323";"2015-03-16 10:43:25.511323";"";""
11082;"GALWAY";"48700";"GALWAY";"";"GWY";"";;;;"4870";"";;"2015-03-16 10:43:25.511734";"2015-03-16 10:43:25.511734";"";""
11083;"KILARNY";"48800";"KILLARNEY";"";"KLL";"";;;;"4880";"";;"2015-03-16 10:43:25.512143";"2015-03-16 10:43:25.512143";"";""
11084;"LIMERIC";"48900";"LIMERICK";"";"LRK";"";;;;"4890";"";;"2015-03-16 10:43:25.512563";"2015-03-16 10:43:25.512563";"";""
11085;"CATZ006";"48910";"SIXMILEBRIDGE";"";"XSB";"";;;;"4891";"";;"2015-03-16 10:43:25.512968";"2015-03-16 10:43:25.512968";"";""
11086;"MALLOW";"49000";"MALLOW";"";"MAW";"";;;;"4900";"";;"2015-03-16 10:43:25.513447";"2015-03-16 10:43:25.513447";"";""
11087;"TRALEE";"49100";"TRALEE";"";"TRL";"";;;;"4910";"";;"2015-03-16 10:43:25.513856";"2015-03-16 10:43:25.513856";"";""
11088;"WATERFD";"49200";"WATERFORD";"";"WFD";"";;;;"4920";"";;"2015-03-16 10:43:25.514262";"2015-03-16 10:43:25.514262";"";""
11089;"WEXFDOH";"49300";"WEXFORD";"";"WXF";"";;;;"4930";"";;"2015-03-16 10:43:25.514665";"2015-03-16 10:43:25.514665";"";""
11090;"WKLW";"49400";"WICKLOW";"";"WKL";"";;;;"4940";"";;"2015-03-16 10:43:25.515057";"2015-03-16 10:43:25.515057";"";""
11092;"ALDGTLT";"50200";"ALDGATE LT";"";"ZAD";"";;;;"5020";"";;"2015-03-16 10:43:25.515883";"2015-03-16 10:43:25.515883";"";""
11158;"DUISBRG";"80300";"DUISBURG HBF";"";"DUI";"";;;;"8030";"";;"2015-03-16 10:43:25.54975";"2015-03-16 10:43:25.54975";"";""
11093;"ALDGEST";"50300";"ALDGATE EAST LT";"87123";"ZAE";"";;;;"5030";"";;"2015-03-16 10:43:25.516307";"2015-03-16 10:43:25.516307";"";""
11096;"LONDNBS";"51100";"BAKER STREET LT";"";"ZBS";"";;;;"5110";"";;"2015-03-16 10:43:25.517677";"2015-03-16 10:43:25.517677";"";""
11097;"BARKGLT";"51400";"BARKING LT";"51532";"ZKB";"";;;;"5140";"";;"2015-03-16 10:43:25.518086";"2015-03-16 10:43:25.518086";"";""
11098;"BRNSTLT";"51600";"BARONS COURT LT";"72260";"ZBQ";"";;;;"5160";"";;"2015-03-16 10:43:25.518782";"2015-03-16 10:43:25.518782";"";""
11160;"BOLGNEM";"80500";"BOULOGNE MARITIME";"";"BOU";"";;;;"8050";"";;"2015-03-16 10:43:25.550605";"2015-03-16 10:43:25.550605";"";""
11161;"CALAISM";"80600";"CALAIS MARITIME";"";"CAL";"";;;;"8060";"";;"2015-03-16 10:43:25.551006";"2015-03-16 10:43:25.551006";"";""
11100;"BECNTRE";"51800";"BECONTREE LT";"";"ZBZ";"";;;;"5180";"";;"2015-03-16 10:43:25.519607";"2015-03-16 10:43:25.519607";"";""
11101;"BROMBLT";"53000";"BROMLEY-BY-BOW LT";"52252";"ZBW";"";;;;"5300";"";;"2015-03-16 10:43:25.520017";"2015-03-16 10:43:25.520017";"";""
11103;"EMBKMNT";"54200";"EMBANKMENT LT";"72353";"ZEK";"";;;;"5420";"";;"2015-03-16 10:43:25.521043";"2015-03-16 10:43:25.521043";"";""
11104;"CHSM";"54300";"CHESHAM LT";"";"ZCM";"";;;;"5430";"";;"2015-03-16 10:43:25.521455";"2015-03-16 10:43:25.521455";"";""
11107;"DGNHELT";"55500";"DAGENHAM EAST LT";"51359";"ZDE";"";;;;"5550";"";;"2015-03-16 10:43:25.522779";"2015-03-16 10:43:25.522779";"";""
11108;"ELCT";"56200";"EARL'S COURT LT";"72246";"ZET";"";;;;"5620";"";;"2015-03-16 10:43:25.523202";"2015-03-16 10:43:25.523202";"";""
11109;"EASTHAM";"56600";"EAST HAM LT";"51604";"ZEH";"";;;;"5660";"";;"2015-03-16 10:43:25.523622";"2015-03-16 10:43:25.523622";"";""
11110;"EDGWARE";"56800";"EDGWARE LT";"";"ZED";"";;;;"5680";"";;"2015-03-16 10:43:25.524039";"2015-03-16 10:43:25.524039";"";""
11111;"EPHT";"57000";"ELEPHANT & CASTLE LT";"72359";"ZEL";"";;;;"5700";"";;"2015-03-16 10:43:25.524489";"2015-03-16 10:43:25.524489";"";""
11114;"FNCHMET";"57900";"FINCHLEY ROAD LT";"";"ZFR";"";;;;"5790";"";;"2015-03-16 10:43:25.525812";"2015-03-16 10:43:25.525812";"";""
11115;"HAMDLUL";"59300";"HAMMERSMITH LT";"72259";"ZHA";"";;;;"5930";"";;"2015-03-16 10:43:25.526287";"2015-03-16 10:43:25.526287";"";""
11118;"KNSGHST";"60500";"HIGH STREET KENSINGTON LT";"72247";"ZHS";"";;;;"6050";"";;"2015-03-16 10:43:25.527925";"2015-03-16 10:43:25.527925";"";""
11119;"HLWYRLT";"60900";"HOLLOWAY ROAD LT";"";"ZHR";"";;;;"6090";"";;"2015-03-16 10:43:25.528368";"2015-03-16 10:43:25.528368";"";""
11120;"KILBPLT";"62300";"KILBURN PARK LT";"";"ZKP";"";;;;"6230";"";;"2015-03-16 10:43:25.528853";"2015-03-16 10:43:25.528853";"";""
11121;"MDVLLT";"63700";"MAIDA VALE LT";"";"ZMV";"";;;;"6370";"";;"2015-03-16 10:43:25.529263";"2015-03-16 10:43:25.529263";"";""
11122;"MANSNHS";"63900";"MANSION HOUSE LT";"87186";"ZMH";"";;;;"6390";"";;"2015-03-16 10:43:25.52968";"2015-03-16 10:43:25.52968";"";""
11123;"MORGTLT";"64500";"MOORGATE LT";"";"ZMG";"";;;;"6450";"";;"2015-03-16 10:43:25.530142";"2015-03-16 10:43:25.530142";"";""
11127;"ILFENBP";"65000";"NEWBURY PARK LT";"";"ZNP";"";;;;"6500";"";;"2015-03-16 10:43:25.532279";"2015-03-16 10:43:25.532279";"";""
11130;"NACTON";"65300";"NORTH ACTON LT";"";"ZNA";"";;;;"6530";"";;"2015-03-16 10:43:25.533531";"2015-03-16 10:43:25.533531";"";""
11131;"PICDYCR";"67400";"PICCADILLY CIRCUS LT";"72352";"ZPC";"";;;;"6740";"";;"2015-03-16 10:43:25.533992";"2015-03-16 10:43:25.533992";"";""
11132;"PLASTOW";"67600";"PLAISTOW LT";"52713";"ZPS";"";;;;"6760";"";;"2015-03-16 10:43:25.534473";"2015-03-16 10:43:25.534473";"";""
11033;"CATZ001";"31220";"CRAUGHWELL";"";"XCD";"";;;;"3122";"";;"2015-03-16 10:43:25.489716";"2015-03-16 10:43:25.489716";"";""
11034;"CATZ003";"31230";"GORT";"";"XGR";"";;;;"3123";"";;"2015-03-16 10:43:25.490169";"2015-03-16 10:43:25.490169";"";""
11035;"FERDALE";"32400";"FERNDALE";"";"FED";"";;;;"3240";"";;"2015-03-16 10:43:25.490658";"2015-03-16 10:43:25.490658";"";""
11036;"CATZ005";"33210";"MONASTEREVIN";"";"XMV";"";;;;"3321";"";;"2015-03-16 10:43:25.491434";"2015-03-16 10:43:25.491434";"";""
11037;"BODMNMF";"33600";"BODMIN MOUNT FOLLY";"";"BDF";"";;;;"3360";"";;"2015-03-16 10:43:25.491849";"2015-03-16 10:43:25.491849";"";""
11038;"BUDESTD";"33700";"BUDE STRAND";"";"BUA";"";;;;"3370";"";;"2015-03-16 10:43:25.4923";"2015-03-16 10:43:25.4923";"";""
11039;"COWESE";"33800";"EAST COWES";"";"ECW";"";;;;"3380";"";;"2015-03-16 10:43:25.492735";"2015-03-16 10:43:25.492735";"";""
11040;"HULLBS";"34000";"HULL BUS STN";"";"HUU";"";;;;"3400";"";;"2015-03-16 10:43:25.493353";"2015-03-16 10:43:25.493353";"";""
11041;"NWPRBUS";"34500";"NEWPORT (IOW)";"";"NPT";"";;;;"3450";"";;"2015-03-16 10:43:25.493888";"2015-03-16 10:43:25.493888";"";""
11042;"OTTERBS";"34600";"OTTERY ST MARY";"";"OSM";"";;;;"3460";"";;"2015-03-16 10:43:25.494335";"2015-03-16 10:43:25.494335";"";""
11043;"PDSTWBT";"34700";"PADSTOW";"";"PDT";"";;;;"3470";"";;"2015-03-16 10:43:25.494751";"2015-03-16 10:43:25.494751";"";""
11044;"BUCFAST";"34800";"BUCKFASTLEIGH";"83709";"BFL";"";;;;"3480";"";;"2015-03-16 10:43:25.495179";"2015-03-16 10:43:25.495179";"";""
11045;"DUBLINF";"35000";"DUBLIN FERRYPORT";"";"DFP";"";;;;"3500";"";;"2015-03-16 10:43:25.495593";"2015-03-16 10:43:25.495593";"";""
11047;"LIMERCJ";"35200";"LIMERICK JCN";"";"LJN";"";;;;"3520";"";;"2015-03-16 10:43:25.496423";"2015-03-16 10:43:25.496423";"";""
11048;"SCRBSTR";"35500";"SCRABSTER";"";"SCB";"";;;;"3550";"";;"2015-03-16 10:43:25.496828";"2015-03-16 10:43:25.496828";"";""
11049;"SEATNSF";"35600";"SEATON SEA FRONT";"";"SSF";"";;;;"3560";"";;"2015-03-16 10:43:25.497232";"2015-03-16 10:43:25.497232";"";""
11052;"VNTNRBS";"36800";"VENTNOR";"";"VTN";"";;;;"3680";"";;"2015-03-16 10:43:25.498473";"2015-03-16 10:43:25.498473";"";""
11053;"WDBDGBS";"36900";"WADEBRIDGE";"";"WBE";"";;;;"3690";"";;"2015-03-16 10:43:25.498878";"2015-03-16 10:43:25.498878";"";""
11054;"COWESW";"37100";"WEST COWES";"";"WTW";"";;;;"3710";"";;"2015-03-16 10:43:25.499329";"2015-03-16 10:43:25.499329";"";""
11055;"YOVILBS";"37400";"YEOVIL BUS STN";"";"YVB";"";;;;"3740";"";;"2015-03-16 10:43:25.499749";"2015-03-16 10:43:25.499749";"";""
11150;"HTRWUND";"78200";"HEATHROW T1234";"";"ZHJ";"";;;;"7820";"";;"2015-03-16 10:43:25.542587";"2015-03-16 10:43:25.542587";"";""
11151;"BRMNDSY";"78700";"BERMONDSEY LRT";"";"ZEO";"";;;;"7870";"";;"2015-03-16 10:43:25.543034";"2015-03-16 10:43:25.543034";"";""
11153;"LILLEFL";"80000";"LILLE FLANDRES";"742";"LIL";"";;;;"8000";"";;"2015-03-16 10:43:25.543903";"2015-03-16 10:43:25.543903";"";""
11050;"SHAFTTH";"35700";"SHAFTESBURY TOWN HALL";"";"SWH";"";;;;"3570";"";;"2015-03-16 10:43:25.497644";"2015-03-16 10:43:25.497644";"";""
11997;"WMBYICD";"142401";"CHS";"72111";"XWF";"";;;;"1424";"";;"2015-03-16 10:43:25.978211";"2015-03-16 10:43:25.978211";"";""
11022;"DNHAAG";"14900";"DEN HAAG HS";"927";"DHS";"";;;;"1490";"";;"2015-03-16 10:43:25.484267";"2015-03-16 10:43:25.484267";"";""
11023;"BRNAMKT";"23800";"BURNHAM MARKET";"";"BMK";"";;;;"2380";"";;"2015-03-16 10:43:25.485428";"2015-03-16 10:43:25.485428";"";""
11024;"WENXTSE";"23900";"WELLS NEXT THE SEA";"";"WEN";"";;;;"2390";"";;"2015-03-16 10:43:25.485885";"2015-03-16 10:43:25.485885";"";""
11025;"BRKNIOM";"24000";"BIRKENHEAD 12 QUAYS";"";"BKI";"";;;;"2400";"";;"2015-03-16 10:43:25.486298";"2015-03-16 10:43:25.486298";"";""
11026;"HAWESMP";"25200";"HAWES MARKET PLACE";"";"HMK";"";;;;"2520";"";;"2015-03-16 10:43:25.486712";"2015-03-16 10:43:25.486712";"";""
11027;"PNZQUAY";"25300";"PENZANCE QUAY";"";"PNQ";"";;;;"2530";"";;"2015-03-16 10:43:25.487114";"2015-03-16 10:43:25.487114";"";""
11013;"DUSSDRF";"14000";"DUESSELDORF HBF";"13";"DUS";"";;;;"1400";"";;"2015-03-16 10:43:25.478497";"2015-03-16 10:43:25.478497";"";""
11014;"ESSNHBF";"14100";"ESSEN HBF";"20";"ESS";"";;;;"1410";"";;"2015-03-16 10:43:25.480125";"2015-03-16 10:43:25.480125";"";""
11015;"BOCHUM";"14200";"BOCHUM HBF";"23";"BUM";"";;;;"1420";"";;"2015-03-16 10:43:25.480864";"2015-03-16 10:43:25.480864";"";""
11016;"DORTMND";"14300";"DORTMUND HBF";"25";"DTM";"";;;;"1430";"";;"2015-03-16 10:43:25.481493";"2015-03-16 10:43:25.481493";"";""
11017;"BONNHBF";"14400";"BONN HBF";"31";"BNJ";"";;;;"1440";"";;"2015-03-16 10:43:25.482034";"2015-03-16 10:43:25.482034";"";""
11018;"KOBLENZ";"14500";"KOBLENZ HBF";"34";"KBZ";"";;;;"1450";"";;"2015-03-16 10:43:25.482489";"2015-03-16 10:43:25.482489";"";""
11019;"FRNKFRT";"14600";"FRANKFURT (MAIN) HBF";"41";"FRA";"";;;;"1460";"";;"2015-03-16 10:43:25.482968";"2015-03-16 10:43:25.482968";"";""
11020;"MINZHBF";"14700";"MAINZ HBF";"44";"MNZ";"";;;;"1470";"";;"2015-03-16 10:43:25.483433";"2015-03-16 10:43:25.483433";"";""
11021;"ROTTCS";"14800";"ROTTERDAM CS";"918";"ROT";"";;;;"1480";"";;"2015-03-16 10:43:25.483849";"2015-03-16 10:43:25.483849";"";""
11028;"STMAQUY";"26900";"ST. MARYS QUAY";"";"SMQ";"";;;;"2690";"";;"2015-03-16 10:43:25.487523";"2015-03-16 10:43:25.487523";"";""
11029;"BLENCWM";"27800";"BLAEENCWM";"";"BCW";"";;;;"2780";"";;"2015-03-16 10:43:25.487934";"2015-03-16 10:43:25.487934";"";""
11030;"MERTBCN";"28100";"BRECON";"";"BEO";"";;;;"2810";"";;"2015-03-16 10:43:25.488395";"2015-03-16 10:43:25.488395";"";""
11031;"MAERDY";"29600";"MAERDY";"";"MDY";"";;;;"2960";"";;"2015-03-16 10:43:25.488809";"2015-03-16 10:43:25.488809";"";""
11057;"TYLORTN";"37800";"TYLORSTOWN";"";"TYR";"";;;;"3780";"";;"2015-03-16 10:43:25.50064";"2015-03-16 10:43:25.50064";"";""
11058;"DOVERED";"38800";"DOVER EAST DOCKS";"";"DED";"";;;;"3880";"";;"2015-03-16 10:43:25.501056";"2015-03-16 10:43:25.501056";"";""
11059;"CORKRNG";"39700";"CORK RINGASKIDDY FERRYPORT";"";"COF";"";;;;"3970";"";;"2015-03-16 10:43:25.501483";"2015-03-16 10:43:25.501483";"";""
11060;"BLFAIRS";"46100";"BELFAIRS BUS";"";"XBX";"";;;;"4610";"";;"2015-03-16 10:43:25.501997";"2015-03-16 10:43:25.501997";"";""
11061;"CANVHC";"46400";"CANVEY HAYSTACK CORNER";"";"XHH";"";;;;"4640";"";;"2015-03-16 10:43:25.50241";"2015-03-16 10:43:25.50241";"";""
11062;"CANVLB";"46500";"CANVEY LEIGH BECK";"";"XLQ";"";;;;"4650";"";;"2015-03-16 10:43:25.502937";"2015-03-16 10:43:25.502937";"";""
11200;"DIEPPE";"80700";"DIEPPE";"";"DIE";"";;;;"8070";"";;"2015-03-16 10:43:25.568801";"2015-03-16 10:43:25.568801";"";""
11201;"HOEKVHL";"80800";"HOEK VAN HOLLAND";"";"HVH";"";;;;"8080";"";;"2015-03-16 10:43:25.569272";"2015-03-16 10:43:25.569272";"";""
11202;"OOSTEND";"81100";"OOSTENDE";"";"OOS";"";;;;"8110";"";;"2015-03-16 10:43:25.56971";"2015-03-16 10:43:25.56971";"";""
11203;"PARISND";"81200";"PARIS NORD";"750";"PBN";"";;;;"8120";"";;"2015-03-16 10:43:25.570127";"2015-03-16 10:43:25.570127";"";""
11205;"PARISLZ";"81300";"PARIS ST. LAZARE";"";"PAZ";"";;;;"8130";"";;"2015-03-16 10:43:25.571155";"2015-03-16 10:43:25.571155";"";""
11206;"BRUXMID";"81400";"BRUXELLES MIDI";"850";"BXS";"";;;;"8140";"";;"2015-03-16 10:43:25.571657";"2015-03-16 10:43:25.571657";"";""
11217;"AMSTDAM";"81500";"AMSTERDAM CS";"950";"AMS";"";;;;"8150";"";;"2015-03-16 10:43:25.577293";"2015-03-16 10:43:25.577293";"";""
11233;"ROSNDAL";"81700";"ROOSENDAAL";"909";"RDL";"";;;;"8170";"";;"2015-03-16 10:43:25.584333";"2015-03-16 10:43:25.584333";"";""
11238;"AMIENS";"81800";"AMIENS";"";"AMI";"";;;;"8180";"";;"2015-03-16 10:43:25.586427";"2015-03-16 10:43:25.586427";"";""
11239;"ROUENDD";"81900";"ROUEN D.D.";"";"RRD";"";;;;"8190";"";;"2015-03-16 10:43:25.58684";"2015-03-16 10:43:25.58684";"";""
11241;"LUTOBUS";"83600";"LUTON BUS";"";"LUB";"";;;;"8360";"";;"2015-03-16 10:43:25.587952";"2015-03-16 10:43:25.587952";"";""
11243;"TWGWDLR";"86400";"TOWER GATEWAY DLR";"";"ZTG";"";;;;"8640";"";;"2015-03-16 10:43:25.588836";"2015-03-16 10:43:25.588836";"";""
11244;"DUNLGHR";"86900";"DUN LOAGHAIRE";"";"DLO";"";;;;"8690";"";;"2015-03-16 10:43:25.589248";"2015-03-16 10:43:25.589248";"";""
11258;"BORGSTM";"87303";"BOURG ST MAURICE";"768";"XIB";"";;;;"8730";"";;"2015-03-16 10:43:25.595211";"2015-03-16 10:43:25.595211";"";""
