"id";"atcocode";"common_name";"locality_name";"locality_qualifier";"created_at";"updated_at";"name";"lattitude";"longitude";"transport_type";"osm_id";"sms_code";"indicator";"bearing";"locality";"parent_locality";"status"
64765;"9400ZZALGWP1";"Emirates Air Line Greenwich Peninsula";"North Greenwich";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Emirates Air Line Greenwich Peninsula";5149955;837;"tram";;"";"";"";"North Greenwich";"";"act"
64764;"9400ZZALRDK1";"Emirates Air Line Royal Docks";"Royal Victoria";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Emirates Air Line Royal Docks";5150773;1765;"tram";;"";"";"";"Royal Victoria";"";"act"
208871;"9400ZZBBHDK1";"Horsted Keynes (Bluebell Railway)";"Horsted Keynes";"West Sussex";"2016-02-09 15:28:05";"2016-02-09 15:28:05";"Horsted Keynes (Bluebell Railway)";5104615;-4470;"tram";;"";"";"";"Horsted Keynes";"";"act"
208870;"9400ZZBBKNG1";"Kingscote (Bluebell Railway)";"Kingscote (WSusx)";"West Sussex";"2016-02-09 15:28:05";"2016-02-09 15:28:05";"Kingscote (Bluebell Railway)";5110306;-4810;"tram";;"";"";"";"Kingscote";"";"act"
208872;"9400ZZBBSHF1";"Sheffield Park (Bluebell Railway)";"Sheffield Park";"East Sussex";"2016-02-09 15:28:05";"2016-02-09 15:28:05";"Sheffield Park (Bluebell Railway)";5099571;-179;"tram";;"";"";"";"Sheffield Park";"";"act"
136500;"9400ZZBKBKH";"Birkhill (Bo'ness & Kinneil Railway)";"Bo'ness";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Birkhill (Bo'ness & Kinneil Railway)";5599332;-366071;"tram";;"";"";"";"Bo'ness";"";"act"
136502;"9400ZZBKBON";"Bo'ness (Bo'ness & Kinneil Railway)";"Bo'ness";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Bo'ness (Bo'ness & Kinneil Railway)";5601794;-360042;"tram";;"";"";"";"Bo'ness";"";"act"
136501;"9400ZZBKKIN";"Kinneil (Bo'ness & Kinneil Railway)";"Bo'ness";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Kinneil (Bo'ness & Kinneil Railway)";5601490;-362456;"tram";;"";"";"";"Bo'ness";"";"act"
136499;"9400ZZBKMAN";"Manuel (Bo'ness & Kinneil Railway)";"Bo'ness";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Manuel (Bo'ness & Kinneil Railway)";5597767;-365735;"tram";;"";"";"";"Bo'ness";"";"act"
111446;"9400ZZBPAHM1";"Anchorsholme (Blackpool Tramway)";"Anchorsholme";"Cleveleys";"2016-02-09 15:27:14";"2016-02-09 15:27:14";"Anchorsholme (Blackpool Tramway)";5387138;-304268;"tram";;"blpamdwd";"";"";"Anchorsholme";"Cleveleys";"act"
111490;"9400ZZBPAHM2";"Anchorsholme (Blackpool Tramway)";"Anchorsholme";"Cleveleys";"2016-02-09 15:27:15";"2016-02-09 15:27:15";"Anchorsholme (Blackpool Tramway)";5387138;-304277;"tram";;"blpamgpw";"";"";"Anchorsholme";"Cleveleys";"act"
111450;"9400ZZBPBSH1";"Bispham (Blackpool Tramway)";"Bispham";"Blackpool";"2016-02-09 15:27:14";"2016-02-09 15:27:14";"Bispham (Blackpool Tramway)";5384909;-305350;"tram";;"blpamgad";"";"";"Bispham";"Blackpool";"act"
111486;"9400ZZBPBSH2";"Bispham (Blackpool Tramway)";"Bispham";"Blackpool";"2016-02-09 15:27:15";"2016-02-09 15:27:15";"Bispham (Blackpool Tramway)";5384963;-305345;"tram";;"blpamgtp";"";"";"Bispham";"Blackpool";"act"
111466;"9400ZZBPBUT1";"Burlington Road West (Blackpool Tramway)";"South Shore";"Blackpool";"2016-02-09 15:27:15";"2016-02-09 15:27:15";"Burlington Road West (Blackpool Tramway)";5378710;-305832;"tram";;"blpamgmt";"";"";"South Shore";"Blackpool";"act"
111470;"9400ZZBPBUT2";"Burlington Road West (Blackpool Tramway)";"South Shore";"Blackpool";"2016-02-09 15:27:15";"2016-02-09 15:27:15";"Burlington Road West (Blackpool Tramway)";5378739;-305829;"tram";;"blpamjgm";"";"";"South Shore";"Blackpool";"act"
111439;"9400ZZBPBWR1";"Broadwater (Blackpool Tramway)";"Broadwater";"Fleetwood";"2016-02-09 15:27:14";"2016-02-09 15:27:14";"Broadwater (Blackpool Tramway)";5390410;-303199;"tram";;"lanjtmwa";"";"";"Broadwater";"Fleetwood";"act"
111497;"9400ZZBPBWR2";"Broadwater (Blackpool Tramway)";"Broadwater";"Fleetwood";"2016-02-09 15:27:15";"2016-02-09 15:27:15";"Broadwater (Blackpool Tramway)";5390374;-303245;"tram";;"lanjtpga";"";"";"Broadwater";"Fleetwood";"act"
111453;"9400ZZBPCBN1";"Cabin (Blackpool Tramway)";"North Shore";"Blackpool";"2016-02-09 15:27:14";"2016-02-09 15:27:14";"Cabin (Blackpool Tramway)";5383810;-305476;"tram";;"blpamjaw";"";"";"North Shore";"Blackpool";"act"
111483;"9400ZZBPCBN2";"Cabin (Blackpool Tramway)";"North Shore";"Blackpool";"2016-02-09 15:27:15";"2016-02-09 15:27:15";"Cabin (Blackpool Tramway)";5383811;-305485;"tram";;"blpamgjd";"";"";"North Shore";"Blackpool";"act"
111454;"9400ZZBPCLH1";"Cliffs Hotel (Blackpool Tramway)";"North Shore";"Blackpool";"2016-02-09 15:27:14";"2016-02-09 15:27:14";"Cliffs Hotel (Blackpool Tramway)";5383594;-305487;"tram";;"blpamjat";"";"";"North Shore";"Blackpool";"act"
111482;"9400ZZBPCLH2";"Cliffs Hotel (Blackpool Tramway)";"North Shore";"Blackpool";"2016-02-09 15:27:15";"2016-02-09 15:27:15";"Cliffs Hotel (Blackpool Tramway)";5383595;-305498;"tram";;"blpamgja";"";"";"North Shore";"Blackpool";"act"
111460;"9400ZZBPCLP1";"Central Pier (Blackpool Tramway)";"Bloomfield";"Blackpool";"2016-02-09 15:27:15";"2016-02-09 15:27:15";"Central Pier (Blackpool Tramway)";5381188;-305552;"tram";;"blpamjdt";"";"";"Bloomfield";"Blackpool";"act"
52351;"9400ZZDLBEC1";"Beckton";"Beckton";"Greater London";"2016-02-09 15:27:03";"2016-02-09 15:27:03";"Beckton";5151478;6134;"tram";;"";"";"";"Beckton";"";"act"
111476;"9400ZZBPCLP2";"Central Pier (Blackpool Tramway)";"Bloomfield";"Blackpool";"2016-02-09 15:27:15";"2016-02-09 15:27:15";"Central Pier (Blackpool Tramway)";5381188;-305562;"tram";;"blpamgma";"";"";"Bloomfield";"Blackpool";"act"
111445;"9400ZZBPCLY1";"Cleveleys (Blackpool Tramway)";"Cleveleys";"";"2016-02-09 15:27:14";"2016-02-09 15:27:14";"Cleveleys (Blackpool Tramway)";5387761;-303970;"tram";;"lanjtmwt";"";"";"Cleveleys";"";"act"
